id;grade;date_of_start;date_of_exam;courseName;student
1;3;2021-09-26;2021-09-26;Unity Game Development;Sa'ida
2;9;2021-09-26;2021-09-26;IT HR;Ssaxyyd
3;2;2021-09-27;2021-09-27;Industrial software development on SP.NET;Maksim
4;6;2021-09-26;2021-09-26;Cloud Application Development;Daniel
5;5;2021-09-26;2021-09-27;Development with Node.js;Simon
6;6;2021-09-26;2021-09-26;Cloud Application Development;Daniel
7;1;2021-09-27;2021-09-27;Industrial software development in Java;Yury
8;10;2021-09-27;2021-09-26;Content Marketing in IT;Loiiyqe
9;8;2021-09-27;2021-09-27;Manual software testing;Hurhga
10;5;2021-09-26;2021-09-26;Development with Node.js;Simon
